Date_Time,UNIT_NAME,LOAD_CATAGORY,LOAD_ID,LOAD_TRAFFX100,LOAD_CS_AMOUNT
12.25.2007 00:00:00,UNIT03LOC1,SCP INIT,15,0,0
12.25.2007 00:00:00,UNIT03LOC1,SCP SERVICE,31,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP INC,76,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP MM INC,84,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP MM INIT,82,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP MM INIT,85,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP MM ARRIVE,83,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP INIT,74,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP INIT,77,0,0
12.25.2007 00:00:00,UNIT03LOC1,TSIP ARRIVE,75,0,0
12.25.2007 00:00:00,UNIT03LOC1,ARRIVE SCP,52,25,17
12.25.2007 00:00:00,UNIT03LOC1,ARRIVE INC,4,11645,1822
12.25.2007 00:00:00,UNIT03LOC1,ARRIVE VIDEO,48,0,0
12.25.2007 00:00:00,UNIT03LOC1,ARRIVEINATING,7,12550,2011
12.25.2007 00:00:00,UNIT03LOC1,PASSING,2,3525,1179
12.25.2007 00:00:00,UNIT03LOC1,VMS INIT,11,0,0
12.25.2007 00:00:00,UNIT03LOC1,VMS ARRIVE,12,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS TECH1INIT INIT,94,10235,2428
12.25.2007 00:00:00,UNIT03LOC1,CS TECH2INIT INIT,97,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS INC TECH1ARRIVE,98,10545,1583
12.25.2007 00:00:00,UNIT03LOC1,CS INC TECH2ARRIVE,99,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS PASSING,90,14385,3486
12.25.2007 00:00:00,UNIT03LOC1,CS INT TECH1-TECH1,92,745,188
12.25.2007 00:00:00,UNIT03LOC1,CS INT TECH1-TECH2,93,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS INT TECH2-TECH1,95,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS INT TECH2-TECH2,96,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS INIT TECH1,86,11325,3097
12.25.2007 00:00:00,UNIT03LOC1,CS INIT TECH2,88,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS INIT,91,13455,3939
12.25.2007 00:00:00,UNIT03LOC1,CS ARRIVE TECH1,87,11450,1772
12.25.2007 00:00:00,UNIT03LOC1,CS ARRIVE TECH2,89,0,0
12.25.2007 00:00:00,UNIT03LOC1,CS PASSING,100,3075,1151
12.25.2007 01:00:00,UNIT03LOC1,---,18,0,0
12.25.2007 01:00:00,UNIT03LOC1,---,19,0,0
12.25.2007 01:00:00,UNIT03LOC1,TECH1 INTERNAL,37,640,183
12.25.2007 01:00:00,UNIT03LOC1,TECH1 INIT,34,6660,1627
12.25.2007 01:00:00,UNIT03LOC1,TECH1 INIT INIT,40,5865,1160
12.25.2007 01:00:00,UNIT03LOC1,TECH1 ARRIVE,35,6040,991
12.25.2007 01:00:00,UNIT03LOC1,TECH1-TECH2 INT,38,0,0
12.25.2007 01:00:00,UNIT03LOC1,TECH2 INTERNAL,36,0,0
12.25.2007 01:00:00,UNIT03LOC1,TECH2 INIT,32,0,0
12.25.2007 01:00:00,UNIT03LOC1,TECH2 INIT INIT,41,0,0
12.25.2007 01:00:00,UNIT03LOC1,TECH2 ARRIVE,33,0,0
12.25.2007 01:00:00,UNIT03LOC1,TECH2-TECH1 INT,39,0,0
12.25.2007 01:00:00,UNIT03LOC1,A CATEGORY,156,0,0
12.25.2007 01:00:00,UNIT03LOC1,RADIO-IF CSS,22,12710,2330
12.25.2007 01:00:00,UNIT03LOC1,B CATEGORY,157,0,0
12.25.2007 01:00:00,UNIT03LOC1,C CATEGORY,158,0,0
12.25.2007 01:00:00,UNIT03LOC1,CMN MODE,30,0,0
12.25.2007 01:00:00,UNIT03LOC1,D CATEGORY,159,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS TECH1INIT INIT,109,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS TECH2-TECH1,110,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS TECH2-TECH2,111,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS TECH2INIT INIT,112,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS CSS,17,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS INC-TECH1ARRIVE,113,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS INC-TECH2ARRIVE,114,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS PASSING,105,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS INT TECH1-TECH1,107,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS INT TECH1-TECH2,108,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS INIT TECH1,101,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS INIT TECH2,103,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS INIT,106,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS ARRIVE TECH1,102,0,0
12.25.2007 01:00:00,UNIT03LOC1,PS ARRIVE TECH2,104,0,0
